index	id	test_stat	P-value	time
586	site_585	0.8978	3.43365e-01	0.30
587	site_586	1.1882	2.75701e-01	0.35
588	site_587	0.0480	8.26514e-01	0.79
589	site_588	0.0118	9.13651e-01	0.79
590	site_589	0.0013	9.70830e-01	0.43
591	site_590	1.7905	1.80867e-01	0.31
592	site_591	1.8234	1.76904e-01	0.32
593	site_592	0.6592	4.16826e-01	0.41
594	site_593	0.2638	6.07518e-01	0.40
595	site_594	0.0135	9.07466e-01	0.26
596	site_595	0.0013	9.71672e-01	0.60
597	site_596	0.0000	9.99999e-01	0.45
598	site_597	0.4809	4.88013e-01	0.34
599	site_598	0.2498	6.17227e-01	0.41
600	site_599	0.0060	9.38017e-01	0.53
601	site_600	0.3444	5.57278e-01	0.34
602	site_601	0.4108	5.21540e-01	0.34
603	site_602	0.0601	8.06384e-01	0.30
604	site_603	2.2997	1.29403e-01	0.38
605	site_604	2.9705	8.47981e-02	0.45
606	site_605	0.4675	4.94154e-01	0.40
607	site_606	0.7985	3.71542e-01	0.45
608	site_607	0.0378	8.45829e-01	0.34
609	site_608	2.2516	1.33481e-01	0.30
610	site_609	0.0034	9.53169e-01	0.72
611	site_610	0.4884	4.84622e-01	0.34
612	site_611	0.0023	9.62094e-01	0.59
613	site_612	3.1590	7.55117e-02	0.39
614	site_613	0.5896	4.42556e-01	0.38
615	site_614	0.9535	3.28828e-01	0.43
616	site_615	0.0108	9.17221e-01	0.65
617	site_616	2.7074	9.98813e-02	0.41
618	site_617	2.4850	1.14934e-01	0.24
619	site_618	0.0013	9.71604e-01	0.45
620	site_619	3.7517	5.27531e-02	0.35
621	site_620	0.2441	6.21262e-01	0.36
622	site_621	0.3346	5.62939e-01	0.31
623	site_622	0.7546	3.85033e-01	0.27
624	site_623	0.9355	3.33436e-01	0.37
625	site_624	0.7099	3.99492e-01	0.43
626	site_625	5.4947	1.90737e-02	0.30
627	site_626	0.3884	5.33146e-01	0.41
628	site_627	0.0262	8.71302e-01	0.33
629	site_628	7.9878	4.70935e-03	0.28
630	site_629	0.2101	6.46709e-01	0.55
631	site_630	0.7798	3.77216e-01	0.52
632	site_631	6.1816	1.29085e-02	0.41
633	site_632	0.0430	8.35634e-01	0.41
634	site_633	0.1309	7.17542e-01	0.26
635	site_634	8.9690	2.74604e-03	0.71
636	site_635	1.3964	2.37320e-01	0.30
637	site_636	0.2713	6.02469e-01	0.26
638	site_637	1.2548	2.62645e-01	0.31
639	site_638	0.0000	1.00000e+00	0.35
640	site_639	1.5591	2.11795e-01	0.29
641	site_640	1.2927	2.55549e-01	0.41
642	site_641	0.2715	6.02297e-01	0.34
643	site_642	6.3858	1.15037e-02	0.32
644	site_643	0.4600	4.97631e-01	0.31
645	site_644	6.3021	1.20597e-02	0.30
646	site_645	2.2191	1.36309e-01	0.29
647	site_646	11.8946	5.62980e-04	0.35
648	site_647	0.0421	8.37519e-01	0.40
649	site_648	1.1106	2.91952e-01	0.50
650	site_649	10.9619	9.30033e-04	0.27
651	site_650	3.0941	7.85783e-02	0.28
652	site_651	0.0080	9.28913e-01	0.48
653	site_652	0.3896	5.32508e-01	0.25
654	site_653	0.0068	9.34161e-01	0.32
655	site_654	3.3274	6.81344e-02	0.30
656	site_655	1.0655	3.01971e-01	0.27
657	site_656	0.0232	8.78978e-01	0.46
658	site_657	0.0000	1.00000e+00	0.99
659	site_658	1.6294	2.01786e-01	0.43
660	site_659	2.3557	1.24828e-01	0.36
661	site_660	0.2623	6.08570e-01	0.41
662	site_661	0.9636	3.26271e-01	0.41
663	site_662	0.0101	9.19834e-01	0.52
664	site_663	1.3801	2.40082e-01	0.30
665	site_664	1.3863	2.39034e-01	0.25
666	site_665	1.2202	2.69322e-01	0.39
667	site_666	0.4939	4.82196e-01	0.36
668	site_667	3.9868	4.58577e-02	0.38
669	site_668	1.8707	1.71390e-01	0.38
670	site_669	0.0833	7.72939e-01	0.34
671	site_670	0.8270	3.63142e-01	0.44
672	site_671	0.0000	1.00000e+00	0.61
673	site_672	0.8872	3.46235e-01	0.29
674	site_673	0.0208	8.85261e-01	0.50
675	site_674	1.9044	1.67586e-01	0.31
676	site_675	0.0568	8.11602e-01	0.33
677	site_676	1.2674	2.60256e-01	0.36
678	site_677	0.2802	5.96543e-01	0.28
679	site_678	0.0973	7.55105e-01	0.36
680	site_679	0.2431	6.21991e-01	0.33
681	site_680	1.0125	3.14295e-01	0.41
682	site_681	1.3998	2.36764e-01	0.47
683	site_682	14.5231	1.38455e-04	0.40
684	site_683	1.2614	2.61381e-01	0.34
685	site_684	1.2273	2.67926e-01	0.38
686	site_685	3.3307	6.79996e-02	0.46
687	site_686	5.0614	2.44641e-02	0.28
688	site_687	1.5249	2.16875e-01	0.31
689	site_688	0.9231	3.36674e-01	0.29
690	site_689	0.0000	1.00000e+00	0.52
691	site_690	1.0930	2.95801e-01	0.23
692	site_691	0.0025	9.59747e-01	0.28
693	site_692	0.0000	1.00000e+00	0.41
694	site_693	0.3160	5.74020e-01	0.33
695	site_694	0.3285	5.66515e-01	0.32
696	site_695	0.6206	4.30835e-01	0.17
697	site_696	0.0027	9.58924e-01	0.35
698	site_697	0.0628	8.02105e-01	0.49
699	site_698	4.7324	2.95997e-02	0.27
700	site_699	3.5847	5.83149e-02	0.28
701	site_700	0.9263	3.35833e-01	0.32
702	site_701	1.9501	1.62577e-01	0.32
703	site_702	0.0062	9.37357e-01	0.51
704	site_703	0.2981	5.85094e-01	0.38
705	site_704	0.0000	9.98597e-01	0.36
706	site_705	0.0004	9.84698e-01	0.31
707	site_706	0.1345	7.13778e-01	0.26
708	site_707	1.0158	3.13510e-01	0.33
709	site_708	0.3502	5.53974e-01	0.34
710	site_709	1.0937	2.95646e-01	0.31
711	site_710	1.6771	1.95306e-01	0.36
712	site_711	0.2645	6.07021e-01	0.38
713	site_712	0.0326	8.56650e-01	0.37
714	site_713	6.8127	9.05114e-03	0.27
715	site_714	0.6466	4.21331e-01	0.31
716	site_715	0.0819	7.74750e-01	0.38
717	site_716	3.1439	7.62134e-02	0.47
718	site_717	1.6974	1.92625e-01	0.37
719	site_718	0.3461	5.56302e-01	0.73
720	site_719	0.4863	4.85564e-01	0.38
721	site_720	0.3942	5.30093e-01	0.35
722	site_721	1.1589	2.81698e-01	0.30
723	site_722	0.0000	1.00000e+00	0.51
724	site_723	3.3362	6.77710e-02	0.35
725	site_724	0.0082	9.27739e-01	0.36
726	site_725	0.6391	4.24040e-01	0.47
727	site_726	2.1837	1.39476e-01	0.32
728	site_727	2.3727	1.23473e-01	0.29
729	site_728	0.1477	7.00740e-01	0.31
730	site_729	0.0943	7.58775e-01	0.29
731	site_730	0.7611	3.82993e-01	0.62
732	site_731	0.0400	8.41399e-01	0.43
733	site_732	0.2067	6.49346e-01	0.29
734	site_733	0.0031	9.55542e-01	0.44
735	site_734	3.2763	7.02890e-02	0.29
736	site_735	1.4996	2.20729e-01	0.33
737	site_736	0.0841	7.71805e-01	0.37
738	site_737	0.6682	4.13680e-01	0.39
739	site_738	0.0865	7.68735e-01	0.45
740	site_739	1.8595	1.72681e-01	0.58
741	site_740	2.8919	8.90252e-02	0.31
742	site_741	0.1705	6.79644e-01	0.51
743	site_742	1.7015	1.92095e-01	0.36
744	site_743	0.7409	3.89370e-01	0.26
745	site_744	0.0304	8.61480e-01	0.24
746	site_745	0.0000	9.97552e-01	0.25
747	site_746	9.5655	1.98266e-03	0.30
748	site_747	0.3358	5.62248e-01	0.31
749	site_748	0.9352	3.33513e-01	0.35
750	site_749	0.0021	9.63664e-01	0.31
751	site_750	0.0619	8.03578e-01	0.58
752	site_751	1.5017	2.20411e-01	0.39
753	site_752	3.1383	7.64737e-02	0.33
754	site_753	0.0001	9.94178e-01	0.46
755	site_754	2.1489	1.42677e-01	0.45
756	site_755	0.2948	5.87182e-01	0.47
757	site_756	0.0388	8.43847e-01	0.26
758	site_757	0.2075	6.48715e-01	0.44
759	site_758	0.0009	9.75869e-01	0.59
760	site_759	1.0229	3.11836e-01	0.42
761	site_760	0.0951	7.57794e-01	0.46
762	site_761	0.3768	5.39301e-01	0.31
763	site_762	0.7419	3.89039e-01	0.27
764	site_763	4.2902	3.83317e-02	0.33
765	site_764	1.4266	2.32321e-01	0.29
766	site_765	0.0000	9.99947e-01	0.53
767	site_766	3.7768	5.19689e-02	0.21
768	site_767	0.7339	3.91632e-01	0.26
769	site_768	4.2566	3.90977e-02	0.28
770	site_769	0.3175	5.73111e-01	0.24
771	site_770	8.6447	3.28009e-03	0.38
772	site_771	1.0045	3.16212e-01	0.39
773	site_772	0.0693	7.92373e-01	0.55
774	site_773	2.3212	1.27623e-01	0.29
775	site_774	4.0360	4.45388e-02	0.50
776	site_775	0.0000	9.99715e-01	0.33
777	site_776	0.6178	4.31849e-01	0.29
778	site_777	6.8339	8.94425e-03	0.28
779	site_778	5.2047	2.25265e-02	0.45
780	site_779	0.2029	6.52425e-01	0.30
781	site_780	0.0406	8.40230e-01	0.38
782	site_781	0.0000	1.00000e+00	0.66
783	site_782	0.5156	4.72734e-01	0.32
784	site_783	0.0177	8.94168e-01	0.47
785	site_784	0.4283	5.12830e-01	0.36
786	site_785	0.8562	3.54816e-01	0.29
787	site_786	1.2841	2.57136e-01	0.25
788	site_787	0.1744	6.76224e-01	0.30
789	site_788	0.9945	3.18650e-01	0.38
790	site_789	0.0232	8.78999e-01	0.48
791	site_790	0.0169	8.96670e-01	0.30
792	site_791	0.0000	1.00000e+00	0.49
793	site_792	0.0074	9.31266e-01	0.46
794	site_793	3.9566	4.66885e-02	0.45
795	site_794	0.0000	9.97192e-01	0.58
796	site_795	0.0398	8.41851e-01	0.40
797	site_796	0.0704	7.90811e-01	0.26
798	site_797	3.4527	6.31490e-02	0.33
799	site_798	0.0838	7.72157e-01	0.43
800	site_799	3.3736	6.62502e-02	0.40
801	site_800	0.0011	9.73785e-01	0.37
802	site_801	1.4039	2.36077e-01	0.31
803	site_802	1.4720	2.25026e-01	0.28
804	site_803	4.0707	4.36343e-02	0.30
805	site_804	0.0000	1.00000e+00	0.59
806	site_805	0.0265	8.70586e-01	0.22
807	site_806	0.3762	5.39633e-01	0.63
808	site_807	0.0000	9.95968e-01	0.49
809	site_808	1.9061	1.67395e-01	0.47
810	site_809	0.1957	6.58246e-01	0.35
811	site_810	1.0625	3.02640e-01	0.31
812	site_811	0.0140	9.05753e-01	0.46
813	site_812	0.7409	3.89380e-01	0.32
814	site_813	0.1338	7.14572e-01	0.29
815	site_814	1.3248	2.49728e-01	0.31
816	site_815	0.0121	9.12427e-01	0.30
817	site_816	0.0533	8.17441e-01	0.52
818	site_817	0.0766	7.81914e-01	0.59
819	site_818	0.0567	8.11779e-01	0.64
820	site_819	0.0000	9.99903e-01	0.46
821	site_820	6.1655	1.30263e-02	0.41
822	site_821	0.0866	7.68507e-01	0.68
823	site_822	0.0407	8.40044e-01	0.28
824	site_823	1.7624	1.84326e-01	0.30
825	site_824	0.6170	4.32149e-01	0.25
826	site_825	0.4357	5.09210e-01	0.34
827	site_826	3.2157	7.29352e-02	0.30
828	site_827	0.0071	9.32808e-01	0.49
829	site_828	0.5410	4.62027e-01	0.30
830	site_829	0.0031	9.55247e-01	0.27
831	site_830	0.3511	5.53479e-01	0.35
832	site_831	1.3293	2.48927e-01	0.32
833	site_832	0.0000	9.99449e-01	0.47
834	site_833	3.4238	6.42610e-02	0.36
835	site_834	1.2583	2.61976e-01	0.37
836	site_835	1.4946	2.21501e-01	0.48
837	site_836	0.0921	7.61526e-01	0.30
838	site_837	0.5180	4.71714e-01	0.31
839	site_838	0.0092	9.23743e-01	0.34
840	site_839	0.5235	4.69373e-01	0.36
841	site_840	0.1903	6.62636e-01	0.31
842	site_841	1.0685	3.01279e-01	0.52
843	site_842	0.1734	6.77111e-01	0.28
844	site_843	0.0000	1.00000e+00	0.51
845	site_844	1.9663	1.60838e-01	0.32
846	site_845	1.1591	2.81660e-01	0.36
847	site_846	0.5565	4.55694e-01	0.55
848	site_847	0.8454	3.57865e-01	0.43
849	site_848	0.4249	5.14519e-01	0.69
850	site_849	0.0108	9.17254e-01	0.34
851	site_850	0.8033	3.70111e-01	0.34
852	site_851	3.5369	6.00167e-02	0.40
853	site_852	0.6483	4.20706e-01	0.37
854	site_853	5.4712	1.93324e-02	0.24
855	site_854	0.0989	7.53191e-01	0.36
856	site_855	0.0981	7.54076e-01	0.55
857	site_856	0.2959	5.86449e-01	0.30
858	site_857	0.0064	9.36437e-01	0.30
859	site_858	0.0022	9.62248e-01	0.47
860	site_859	1.7889	1.81063e-01	0.67
861	site_860	2.0094	1.56331e-01	0.33
862	site_861	6.5852	1.02828e-02	0.60
863	site_862	0.8432	3.58473e-01	0.32
864	site_863	0.0096	9.21815e-01	0.34
865	site_864	0.0115	9.14588e-01	0.32
866	site_865	0.5163	4.72437e-01	0.41
867	site_866	0.3010	5.83272e-01	0.37
868	site_867	0.0408	8.39872e-01	0.36
869	site_868	0.0196	8.88653e-01	0.32
870	site_869	0.3400	5.59821e-01	0.35
871	site_870	0.0000	9.96436e-01	0.76
872	site_871	0.1874	6.65129e-01	0.57
873	site_872	1.4853	2.22946e-01	0.33
874	site_873	5.5639	1.83349e-02	0.36
875	site_874	0.0085	9.26676e-01	0.50
876	site_875	0.1776	6.73414e-01	0.42
877	site_876	0.5532	4.56994e-01	0.40
878	site_877	0.0004	9.83265e-01	0.36
879	site_878	0.0636	8.00960e-01	0.49
880	site_879	0.3314	5.64858e-01	0.31
881	site_880	1.1438	2.84853e-01	0.41
882	site_881	0.0000	9.95709e-01	0.31
883	site_882	0.2642	6.07262e-01	0.31
884	site_883	0.1666	6.83185e-01	0.28
885	site_884	0.3114	5.76807e-01	0.28
886	site_885	1.4966	2.21191e-01	0.60
887	site_886	0.0017	9.67408e-01	0.57
888	site_887	0.0006	9.80775e-01	0.50
889	site_888	0.0000	1.00000e+00	0.40
890	site_889	4.4438	3.50284e-02	0.29
891	site_890	0.0002	9.89759e-01	0.49
892	site_891	1.9672	1.60750e-01	0.43
893	site_892	0.0000	9.97523e-01	0.53
894	site_893	0.0102	9.19388e-01	0.38
895	site_894	0.2244	6.35740e-01	0.23
896	site_895	0.9798	3.22242e-01	0.58
897	site_896	3.3537	6.70521e-02	0.34
898	site_897	7.9764	4.73915e-03	0.30
899	site_898	0.0660	7.97211e-01	0.58
900	site_899	0.0513	8.20755e-01	0.30
901	site_900	0.5026	4.78377e-01	0.22
902	site_901	2.5025	1.13662e-01	0.29
903	site_902	0.0286	8.65748e-01	0.36
904	site_903	0.7741	3.78941e-01	0.43
905	site_904	0.5899	4.42466e-01	0.53
906	site_905	0.0000	1.00000e+00	0.43
907	site_906	3.9311	4.74000e-02	0.25
908	site_907	0.4148	5.19546e-01	0.34
909	site_908	0.0282	8.66750e-01	0.89
910	site_909	0.0057	9.39713e-01	0.55
911	site_910	0.1525	6.96174e-01	0.46
912	site_911	1.7203	1.89656e-01	0.36
913	site_912	0.5765	4.47695e-01	0.58
914	site_913	0.1127	7.37043e-01	0.60
915	site_914	0.0931	7.60295e-01	0.41
916	site_915	0.0403	8.40914e-01	0.49
917	site_916	0.0142	9.05150e-01	0.45
918	site_917	0.1996	6.55048e-01	0.44
919	site_918	0.0000	1.00000e+00	0.54
920	site_919	0.0008	9.76824e-01	0.42
921	site_920	0.0150	9.02511e-01	0.36
922	site_921	0.0055	9.40872e-01	0.51
923	site_922	0.1033	7.47857e-01	0.39
924	site_923	0.1848	6.67246e-01	0.28
925	site_924	0.4898	4.83999e-01	0.72
926	site_925	0.1330	7.15320e-01	0.34
927	site_926	5.0277	2.49446e-02	0.33
928	site_927	3.3106	6.88361e-02	0.44
929	site_928	2.7681	9.61582e-02	0.33
930	site_929	2.0236	1.54870e-01	0.43
931	site_930	0.5850	4.44360e-01	0.22
932	site_931	0.5260	4.68279e-01	0.32
933	site_932	3.0792	7.92991e-02	0.34
934	site_933	1.0764	2.99499e-01	0.29
935	site_934	0.0615	8.04189e-01	0.31
936	site_935	0.0054	9.41600e-01	0.34
937	site_936	0.2248	6.35407e-01	0.40
938	site_937	0.6895	4.06335e-01	0.37
939	site_938	0.7578	3.84031e-01	0.38
940	site_939	0.3949	5.29757e-01	0.38
941	site_940	0.3016	5.82856e-01	0.51
942	site_941	0.2489	6.17842e-01	0.42
943	site_942	6.7475	9.38799e-03	0.22
944	site_943	7.4928	6.19454e-03	0.33
945	site_944	0.1272	7.21359e-01	0.32
946	site_945	0.0000	1.00000e+00	0.43
947	site_946	0.0001	9.92346e-01	0.45
948	site_947	0.1262	7.22395e-01	0.31
949	site_948	0.4738	4.91265e-01	0.27
950	site_949	1.8640	1.72163e-01	0.50
951	site_950	1.6648	1.96957e-01	0.45
952	site_951	0.0998	7.52050e-01	0.75
953	site_952	1.8967	1.68452e-01	0.39
954	site_953	0.0476	8.27239e-01	0.23
955	site_954	0.0811	7.75789e-01	0.45
956	site_955	1.9579	1.61741e-01	0.89
957	site_956	0.0442	8.33487e-01	0.34
958	site_957	0.0436	8.34639e-01	0.47
959	site_958	0.1611	6.88102e-01	0.53
960	site_959	0.0105	9.18224e-01	0.49
961	site_960	0.2619	6.08788e-01	0.53
962	site_961	0.0611	8.04795e-01	0.63
963	site_962	1.2163	2.70092e-01	0.50
964	site_963	0.0786	7.79136e-01	0.77
965	site_964	0.3224	5.70183e-01	0.31
966	site_965	0.0002	9.88514e-01	0.41
967	site_966	0.8505	3.56402e-01	0.26
968	site_967	0.5927	4.41366e-01	0.39
969	site_968	1.2030	2.72720e-01	0.40
970	site_969	5.0405	2.47619e-02	0.39
971	site_970	0.0156	9.00495e-01	0.49
972	site_971	0.7652	3.81700e-01	0.35
973	site_972	0.0045	9.46759e-01	0.32
974	site_973	1.2090	2.71528e-01	0.36
975	site_974	0.3787	5.38325e-01	0.26
976	site_975	0.0000	1.00000e+00	0.47
977	site_976	2.0812	1.49121e-01	0.38
978	site_977	0.0068	9.34382e-01	0.27
979	site_978	2.9144	8.77927e-02	0.42
980	site_979	4.4701	3.44927e-02	0.27
981	site_980	6.0669	1.37742e-02	0.30
982	site_981	0.0083	9.27539e-01	0.32
983	site_982	0.7697	3.80305e-01	0.33
984	site_983	1.4350	2.30957e-01	0.28
985	site_984	0.1964	6.57667e-01	0.36
986	site_985	0.5279	4.67474e-01	0.29
987	site_986	2
